ID,Session,note_quality,food_present,no_intx_yes_no,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes
5509,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,3,mob,lions,10,FALSE,,gig brt coal t1 app
5510,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,4,runs,lions,,FALSE,,response to lion roaring
5511,t78815,2,FALSE,FALSE,amaz,00-Jan-00,5,mob,lions,3,FALSE,,brt drassage-like wlk in group app
5512,t78815,2,FALSE,FALSE,atac,00-Jan-00,5,mob,lions,3,FALSE,,brt drassage-like wlk in group app
5513,t78815,2,FALSE,FALSE,hel,00-Jan-00,5,mob,lions,3,FALSE,,brt drassage-like wlk in group app
5514,t78815,2,FALSE,FALSE,mgta,00-Jan-00,5,mob,lions,3,FALSE,,brt drassage-like wlk in group app
5515,t78815,2,FALSE,FALSE,pant,00-Jan-00,5,mob,lions,3,FALSE,,brt drassage-like wlk in group app
5516,t78815,2,FALSE,FALSE,brgr,00-Jan-00,5,mob,lions,3,FALSE,,brt drassage-like wlk in group app
5517,t78815,2,FALSE,FALSE,gsmk,00-Jan-00,5,mob,lions,3,FALSE,,brt drassage-like wlk in group app
5518,t78815,2,FALSE,FALSE,odd,00-Jan-00,6,whoop (14x),,25,FALSE,,c=lions
5519,t78815,2,FALSE,FALSE,unid,00-Jan-00,7,squeals,,,FALSE,,'squealing like mad'
5520,t78815,2,FALSE,FALSE,mgta,00-Jan-00,1,bo,lions,,TRUE,,
5521,t78815,2,FALSE,FALSE,hel,00-Jan-00,2,bo,lions,,FALSE,,
5522,t78815,2,FALSE,FALSE,pant,00-Jan-00,2,bo,lions,,FALSE,,
5523,t78815,2,FALSE,FALSE,amaz,00-Jan-00,2,bo,lions,,FALSE,,
5524,t78815,2,FALSE,FALSE,atac,00-Jan-00,2,bo,lions,,FALSE,,
5525,t78815,2,FALSE,FALSE,brgr,00-Jan-00,3,scan,,7,FALSE,,brt
5526,t78815,2,FALSE,FALSE,mgta,00-Jan-00,3,scan,,15,FALSE,,brt
