"clan","session","location","date","start","stop","no_intx_yes_no"
"talek","t2044","c",1992-03-31,2018-01-01 06:30:00,2018-01-01 06:40:00,TRUE
"talek","t2047","k",1992-04-01,2018-01-01 06:00:00,2018-01-01 09:00:00,FALSE
"talek","t2058","k",1992-04-08,2018-01-01 06:36:00,2018-01-01 08:00:00,FALSE
"talek","t206","d",1988-11-21,2018-01-01 17:30:00,2018-01-01 18:59:00,TRUE
"talek","t20602","o",1999-11-19,2018-01-01 07:17:00,2018-01-01 07:22:00,TRUE
"talek","t20815","k",1995-01-29,2018-01-01 06:51:00,2018-01-01 08:48:00,FALSE
"talek","t2085","o",1992-01-12,2018-01-01 06:27:00,2018-01-01 06:59:00,TRUE
"talek","t2086","o",1992-01-14,2018-01-01 07:17:00,2018-01-01 07:49:00,TRUE
"talek","t209.1","k",1988-11-22,2018-01-01 18:52:00,2018-01-01 18:57:00,TRUE
"talek","t2094","o",1992-01-24,2018-01-01 09:25:00,2018-01-01 09:53:00,TRUE
"talek","t20952","o",1995-03-03,2018-01-01 18:14:00,2018-01-01 19:25:00,FALSE
"talek","t2096.7","o",1991-12-20,2018-01-01 06:28:00,2018-01-01 06:33:00,TRUE
"talek","t21041","k",1999-12-03,2018-01-01 06:30:00,2018-01-01 07:25:00,TRUE
"talek","t21104","k",1999-12-06,2018-01-01 06:42:00,2018-01-01 06:54:00,FALSE
"talek","t21136","k",1999-12-08,2018-01-01 06:11:00,2018-01-01 07:38:00,FALSE
"talek","t2123.7","d",1992-05-03,2018-01-01 17:10:00,2018-01-01 17:15:00,TRUE
"talek","t2129.3","k",1992-05-06,2018-01-01 07:55:00,2018-01-01 08:00:00,TRUE
"talek","t21311","k",1999-12-18,2018-01-01 07:01:00,2018-01-01 08:05:00,FALSE
"talek","t21313","d",1999-12-18,2018-01-01 08:29:00,2018-01-01 08:34:00,TRUE
"talek","t2132","k",1992-05-07,2018-01-01 06:30:00,2018-01-01 08:06:00,TRUE
"talek","t2133.7","k",1992-05-08,2018-01-01 07:00:00,2018-01-01 07:05:00,TRUE
"talek","t2135","k",1992-05-08,2018-01-01 17:30:00,2018-01-01 18:50:00,FALSE
"talek","t21378","d",1999-12-22,2018-01-01 06:13:00,2018-01-01 06:38:00,FALSE
"talek","t21379","k",1999-12-22,2018-01-01 06:42:00,2018-01-01 06:48:00,TRUE
"talek","t21390","d",1999-12-23,2018-01-01 06:09:00,2018-01-01 07:06:00,FALSE
"talek","t21394","k",1999-12-23,2018-01-01 18:04:00,2018-01-01 18:56:00,FALSE
"talek","t21409","c",1999-12-24,2018-01-01 07:22:00,2018-01-01 07:27:00,TRUE
"talek","t21410","k",1999-12-24,2018-01-01 07:25:00,2018-01-01 07:30:00,TRUE
"talek","t21418","k",1999-12-25,2018-01-01 06:41:00,2018-01-01 06:56:00,FALSE
"talek","t21437","o",1999-12-26,2018-01-01 06:32:00,2018-01-01 06:50:00,TRUE
"talek","t21458","k",1999-12-27,2018-01-01 06:41:00,2018-01-01 07:08:00,TRUE
"talek","t21522","o",1999-12-31,2018-01-01 06:40:00,2018-01-01 07:06:00,TRUE
"talek","t2155","k",1992-05-23,2018-01-01 06:37:00,2018-01-01 07:55:00,TRUE
"talek","t2160.4","o",1992-05-25,2018-01-01 17:57:00,2018-01-01 18:02:00,TRUE
"talek","t21654","o",2000-01-07,2018-01-01 18:12:00,2018-01-01 18:17:00,TRUE
"talek","t2169","o",1992-05-31,2018-01-01 06:45:00,2018-01-01 07:40:00,FALSE
"talek","t21742","o",2000-01-24,2018-01-01 18:52:00,2018-01-01 18:57:00,FALSE
"talek","t21764","o",2000-01-26,2018-01-01 07:43:00,2018-01-01 08:01:00,TRUE
"talek","t2182","k",1992-06-08,2018-01-01 06:50:00,2018-01-01 07:17:00,TRUE
"talek","t2183","d",1992-06-08,2018-01-01 07:19:00,2018-01-01 07:41:00,TRUE
"talek","t2183.6","o",1992-06-08,2018-01-01 17:47:00,2018-01-01 17:52:00,TRUE
"talek","t21844","k",2000-01-31,2018-01-01 07:36:00,2018-01-01 08:00:00,TRUE
"talek","t21906","o",2000-02-05,2018-01-01 06:24:00,2018-01-01 06:29:00,TRUE
"talek","t2194","o",1992-06-12,2018-01-01 06:00:00,2018-01-01 06:45:00,TRUE
"talek","t22025","k",2000-02-12,2018-01-01 18:22:00,2018-01-01 18:27:00,TRUE
"talek","t22087","o",2000-02-16,2018-01-01 18:31:00,2018-01-01 19:23:00,FALSE
"talek","t221.3","o",1988-11-27,2018-01-01 07:53:00,2018-01-01 08:10:00,FALSE
"talek","t22162.1","o",2000-02-21,2018-01-01 18:07:00,2018-01-01 18:12:00,TRUE
"talek","t22191","o",2000-02-23,2018-01-01 07:30:00,2018-01-01 07:57:00,TRUE
